reward_sum
-21.0
-21.0
-19.0
-21.0
-21.0
-19.0
-19.0
-21.0
-15.0
-21.0
-19.0
-19.0
-19.0
-17.0
-19.0
-21.0
-19.0
-21.0
-17.0
-15.0
-21.0
-21.0
-21.0
-15.0
-19.0
-19.0
-21.0
-19.0
-17.0
-19.0
-19.0
-19.0
-19.0
-17.0
-17.0
-15.0
-19.0
-21.0
-19.0
-21.0
-19.0
-19.0
-19.0
-19.0
-19.0
-21.0
-19.0
-19.0
-15.0
-19.0
-17.0
-19.0
-17.0
-21.0
-17.0
-21.0
-17.0
-21.0
-19.0
-21.0
-19.0
-19.0
-19.0
-15.0
-21.0
-19.0
-21.0
-19.0
-17.0
-19.0
-17.0
-13.0
-19.0
-21.0
-15.0
-21.0
-11.0
-15.0
-21.0
-19.0
-17.0
-21.0
-17.0
-19.0
-15.0
-17.0
-19.0
-17.0
-13.0
-19.0
-11.0
-9.0
-21.0
-21.0
-17.0
-17.0
-17.0
-13.0
-9.0
-17.0
-17.0
-17.0
-17.0
-19.0
-19.0
-19.0
-21.0
-21.0
-15.0
-17.0
-19.0
-17.0
-19.0
-17.0
-17.0
-19.0
-15.0
-21.0
-21.0
-13.0
-11.0
-15.0
-17.0
-13.0
-17.0
-19.0
-17.0
-13.0
-15.0
-13.0
-17.0
-15.0
-21.0
-17.0
-15.0
-17.0
-19.0
-17.0
-15.0
-19.0
-19.0
-17.0
-19.0
-17.0
-17.0
-11.0
-17.0
-15.0
-13.0
-15.0
-17.0
-19.0
-19.0
-15.0
-15.0
-19.0
-17.0
-17.0
-15.0
-13.0
-11.0
-11.0
-13.0
-13.0
-17.0
-17.0
-9.0
-15.0
-21.0
-17.0
-21.0
-17.0
-13.0
-13.0
-19.0
-15.0
-13.0
-15.0
-17.0
-17.0
-13.0
-17.0
-15.0
-21.0
-7.0
-17.0
-21.0
-13.0
-21.0
-5.0
-7.0
-17.0
-17.0
-21.0
-11.0
-17.0
-13.0
-15.0
-11.0
-17.0
-9.0
-3.0
-17.0
-13.0
-17.0
-15.0
-19.0
-13.0
-15.0
-13.0
-13.0
-13.0
-15.0
-15.0
-21.0
-17.0
-15.0
3.0
-11.0
-7.0
-17.0
-13.0
-15.0
-13.0
-17.0
-17.0
-5.0
-17.0
-13.0
-9.0
-11.0
-9.0
-5.0
-17.0
-7.0
-11.0
-17.0
-13.0
-15.0
-17.0
-3.0
-9.0
-21.0
-11.0
-9.0
-7.0
-13.0
-15.0
-17.0
-5.0
7.0
-9.0
-17.0
-3.0
-9.0
-9.0
-9.0
1.0
-11.0
-5.0
-15.0
-15.0
-5.0
-3.0
-11.0
-1.0
-5.0
-1.0
3.0
-7.0
-1.0
-9.0
5.0
-5.0
-1.0
3.0
1.0
-7.0
-7.0
-1.0
-5.0
-7.0
-3.0
-13.0
-13.0
-7.0
-15.0
-7.0
1.0
5.0
-13.0
5.0
-17.0
-1.0
-11.0
-5.0
-11.0
-11.0
-3.0
-17.0
7.0
-9.0
1.0
-5.0
-1.0
3.0
-9.0
-11.0
-17.0
-1.0
-5.0
-1.0
-3.0
-7.0
-1.0
-9.0
-1.0
-5.0
-3.0
1.0
1.0
-1.0
-3.0
-11.0
-11.0
-3.0
-17.0
-13.0
-3.0
3.0
-3.0
-5.0
-7.0
3.0
-15.0
-7.0
5.0
1.0
-9.0
-7.0
9.0
-9.0
1.0
5.0
-13.0
-7.0
5.0
-5.0
-7.0
-9.0
-11.0
5.0
-3.0
11.0
-3.0
1.0
-3.0
-5.0
7.0
-3.0
-5.0
-11.0
1.0
-1.0
-1.0
3.0
15.0
1.0
9.0
3.0
-3.0
-13.0
-9.0
-3.0
-5.0
1.0
-1.0
13.0
-7.0
-1.0
3.0
5.0
-5.0
-9.0
-9.0
-1.0
5.0
-5.0
1.0
-7.0
9.0
-17.0
-9.0
-17.0
-5.0
-1.0
-7.0
-17.0
-1.0
-5.0
-17.0
7.0
-9.0
-3.0
5.0
5.0
3.0
3.0
3.0
1.0
1.0
3.0
-1.0
9.0
1.0
1.0
-3.0
-5.0
5.0
